serial_number,product_name,purchase_date,warranty_months
SN-LNV-001,Lenovo IdeaPad 3 15IAU7,2023-01-15,24
SN-LNV-002,Lenovo ThinkPad X1 Carbon Gen 11,2024-03-10,36
SN-LNV-003,Lenovo Legion 5 Pro 16ARH7H,2022-06-20,12
SN-LNV-004,Lenovo Yoga 7i 14IRL8,2024-11-05,24
SN-LNV-005,Lenovo ThinkPad E14 Gen 5,2023-08-22,24
SN-LNV-006,Lenovo IdeaPad Gaming 3 15ARH7,2022-12-01,12
SN-LNV-007,Lenovo ThinkBook 14 G6 IRL,2025-01-18,24
SN-LNV-008,Lenovo Legion Slim 5 16APH8,2025-06-01,24
SN-LNV-009,Lenovo IdeaPad 1 15ALC7,2021-09-30,12
SN-LNV-010,Lenovo ThinkPad T14s Gen 4,2024-07-14,36
SN-LNV-011,Lenovo Yoga Slim 6 14IRH8,2023-05-09,24
SN-LNV-012,Lenovo Legion 7 16ARHA7,2022-03-17,12
SN-LNV-013,Lenovo ThinkPad L14 Gen 4,2025-02-28,24
SN-LNV-014,Lenovo IdeaPad Flex 5 14IAU7,2023-11-11,24
SN-LNV-015,Lenovo ThinkBook 16 G6 ABP,2024-04-25,24
SN-LNV-016,Lenovo Legion Pro 7i Gen 8,2025-04-30,36
SN-LNV-017,Lenovo IdeaPad 5 Pro 14IRH8,2022-08-08,24
SN-LNV-018,Lenovo ThinkPad P16s Gen 2,2024-09-03,36
SN-LNV-019,Lenovo Yoga 9i 14IRP8,2023-03-27,24
SN-LNV-020,Lenovo IdeaPad Gaming 3 16ARH7,2025-05-15,12
